ids,tot E,tot G,tot FO,tot,tot %,Fund6 E,Fund6 G,Fund6 FO,Fund6 %,Fund7 E,Fund7 G,Fund7 FO,Fund7 %,Fund8 E,Fund8 G,Fund8 FO,Fund8 %,Fund9 E,Fund9 G,Fund9 FO,Fund9 %,active funds,"consecutive
active funds",email,anonymized_ids
z_assessor_3371,0,9,1,10,90.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,9,1,90.00%,1,1,364-test@example.org,z_assessor_3371
z_assessor_3401,0,34,12,46,73.91%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,34,12,73.91%,1,0,365-test@example.org,z_assessor_3401
z_assessor_3408,2,44,1,47,97.87%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,2,44,1,97.87%,1,1,366-test@example.org,z_assessor_3408
z_assessor_3420,0,16,2,18,88.89%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,16,2,88.89%,1,1,367-test@example.org,z_assessor_3420
z_assessor_3438,0,26,0,26,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,26,0,100.00%,1,1,368-test@example.org,z_assessor_3438
z_assessor_3445,0,65,3,68,95.59%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,65,3,95.59%,1,1,369-test@example.org,z_assessor_3445
z_assessor_3449,0,35,0,35,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,35,0,100.00%,1,1,370-test@example.org,z_assessor_3449
z_assessor_3470,2,14,2,18,88.89%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,2,14,2,88.89%,1,1,371-test@example.org,z_assessor_3470
z_assessor_3472,0,57,17,74,77.03%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,57,17,77.03%,1,0,372-test@example.org,z_assessor_3472
z_assessor_3494,0,9,1,10,90.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,9,1,90.00%,1,1,373-test@example.org,z_assessor_3494
z_assessor_3497,0,26,0,26,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,26,0,100.00%,1,1,374-test@example.org,z_assessor_3497
z_assessor_3514,0,14,5,19,73.68%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,14,5,73.68%,1,0,375-test@example.org,z_assessor_3514
z_assessor_3521,0,59,8,67,88.06%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,59,8,88.06%,1,1,376-test@example.org,z_assessor_3521
z_assessor_3617,0,8,2,10,80.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,8,2,80.00%,1,0,377-test@example.org,z_assessor_3617
z_assessor_3624,0,12,0,12,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,12,0,100.00%,1,1,378-test@example.org,z_assessor_3624
z_assessor_3644,1,9,0,10,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,9,0,100.00%,1,1,379-test@example.org,z_assessor_3644
z_assessor_3650,0,33,8,41,80.49%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,33,8,80.49%,1,1,380-test@example.org,z_assessor_3650
z_assessor_3696,0,13,1,14,92.86%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,13,1,92.86%,1,1,381-test@example.org,z_assessor_3696
z_assessor_3702,5,39,5,49,89.80%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,5,39,5,89.80%,1,1,382-test@example.org,z_assessor_3702
z_assessor_3735,0,14,2,16,87.50%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,14,2,87.50%,1,1,383-test@example.org,z_assessor_3735
z_assessor_3750,6,4,0,10,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,6,4,0,100.00%,1,1,384-test@example.org,z_assessor_3750
z_assessor_3777,0,10,0,10,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,10,0,100.00%,1,1,385-test@example.org,z_assessor_3777
z_assessor_3833,0,57,3,60,95.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,57,3,95.00%,1,1,386-test@example.org,z_assessor_3833
z_assessor_3840,8,23,0,31,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,8,23,0,100.00%,1,1,387-test@example.org,z_assessor_3840
z_assessor_3870,1,31,1,33,96.97%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,31,1,96.97%,1,1,388-test@example.org,z_assessor_3870
z_assessor_3872,0,15,4,19,78.95%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,15,4,78.95%,1,0,389-test@example.org,z_assessor_3872
z_assessor_3879,0,9,1,10,90.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,9,1,90.00%,1,1,390-test@example.org,z_assessor_3879
z_assessor_3902,0,11,1,12,91.67%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,11,1,91.67%,1,1,391-test@example.org,z_assessor_3902
z_assessor_3906,0,9,1,10,90.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,9,1,90.00%,1,1,392-test@example.org,z_assessor_3906
z_assessor_3950,4,8,4,16,75.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,4,8,4,75.00%,1,0,393-test@example.org,z_assessor_3950
z_assessor_4045,0,16,2,18,88.89%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,16,2,88.89%,1,1,394-test@example.org,z_assessor_4045
z_assessor_4055,1,32,5,38,86.84%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,32,5,86.84%,1,1,395-test@example.org,z_assessor_4055
z_assessor_4060,0,33,2,35,94.29%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,33,2,94.29%,1,1,396-test@example.org,z_assessor_4060
z_assessor_4072,0,22,1,23,95.65%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,22,1,95.65%,1,1,397-test@example.org,z_assessor_4072
z_assessor_4073,1,27,4,32,87.50%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,27,4,87.50%,1,1,398-test@example.org,z_assessor_4073
z_assessor_4075,0,8,2,10,80.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,8,2,80.00%,1,0,399-test@example.org,z_assessor_4075
z_assessor_4076,0,20,7,27,74.07%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,20,7,74.07%,1,0,400-test@example.org,z_assessor_4076
z_assessor_4097,6,3,1,10,90.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,6,3,1,90.00%,1,1,401-test@example.org,z_assessor_4097
z_assessor_4098,0,34,7,41,82.93%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,34,7,82.93%,1,1,402-test@example.org,z_assessor_4098
z_assessor_4099,0,29,0,29,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,29,0,100.00%,1,1,403-test@example.org,z_assessor_4099
z_assessor_4104,0,32,3,35,91.43%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,32,3,91.43%,1,1,404-test@example.org,z_assessor_4104
z_assessor_4106,0,14,6,20,70.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,14,6,70.00%,1,0,405-test@example.org,z_assessor_4106
z_assessor_4108,0,9,2,11,81.82%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,9,2,81.82%,1,1,406-test@example.org,z_assessor_4108
z_assessor_4113,1,20,3,24,87.50%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,20,3,87.50%,1,1,407-test@example.org,z_assessor_4113
z_assessor_4118,3,16,1,20,95.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,3,16,1,95.00%,1,1,408-test@example.org,z_assessor_4118
